"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2022-10-14","14 Oct 2022","-0.41031"
"2022-10-17","17 Oct 2022","-0.40117"
"2022-10-18","18 Oct 2022","-0.39689"
"2022-10-19","19 Oct 2022","-0.39354"
"2022-10-20","20 Oct 2022","-0.39018"
"2022-10-21","21 Oct 2022","-0.38683"
"2022-10-24","24 Oct 2022","-0.37782"
"2022-10-25","25 Oct 2022","-0.37344"
"2022-10-26","26 Oct 2022","-0.37009"
"2022-10-27","27 Oct 2022","-0.36674"
"2022-10-28","28 Oct 2022","-0.36338"
"2022-10-31","31 Oct 2022","-0.35450"
"2022-11-01","01 Nov 2022","-0.34994"
"2022-11-02","02 Nov 2022","-0.34656"
"2022-11-03","03 Nov 2022","-0.34118"
"2022-11-04","04 Nov 2022","-0.33578"
"2022-11-07","07 Nov 2022","-0.32098"
"2022-11-08","08 Nov 2022","-0.31423"
"2022-11-09","09 Nov 2022","-0.30884"
"2022-11-10","10 Nov 2022","-0.30345"
"2022-11-11","11 Nov 2022","-0.29804"
"2022-11-14","14 Nov 2022","-0.28341"
"2022-11-15","15 Nov 2022","-0.27645"
"2022-11-16","16 Nov 2022","-0.27107"
"2022-11-17","17 Nov 2022","-0.26568"
"2022-11-18","18 Nov 2022","-0.26029"
"2022-11-21","21 Nov 2022","-0.24588"
"2022-11-22","22 Nov 2022","-0.23870"
"2022-11-23","23 Nov 2022","-0.23330"
"2022-11-24","24 Nov 2022","-0.22789"
"2022-11-25","25 Nov 2022","-0.22249"
"2022-11-28","28 Nov 2022","-0.20827"
"2022-11-29","29 Nov 2022","-0.20088"
"2022-11-30","30 Nov 2022","-0.19548"
"2022-12-01","01 Dec 2022","-0.19010"
"2022-12-02","02 Dec 2022","-0.18471"
"2022-12-05","05 Dec 2022","-0.17071"
"2022-12-06","06 Dec 2022","-0.16308"
"2022-12-07","07 Dec 2022","-0.15766"
"2022-12-08","08 Dec 2022","-0.15225"
"2022-12-09","09 Dec 2022","-0.14684"
"2022-12-12","12 Dec 2022","-0.13304"
"2022-12-13","13 Dec 2022","-0.12520"
"2022-12-14","14 Dec 2022","-0.11979"
"2022-12-15","15 Dec 2022","-0.11437"
"2022-12-16","16 Dec 2022","-0.10896"
"2022-12-19","19 Dec 2022","-0.09534"
"2022-12-20","20 Dec 2022","-0.08730"
"2022-12-21","21 Dec 2022","-0.08188"
"2022-12-22","22 Dec 2022","-0.07511"
"2022-12-23","23 Dec 2022","-0.06832"
"2022-12-27","27 Dec 2022","-0.04110"
"2022-12-28","28 Dec 2022","-0.03430"
"2022-12-29","29 Dec 2022","-0.02751"
"2022-12-30","30 Dec 2022","-0.02070"
"2023-01-02","02 Jan 2023","0.00127"
"2023-01-03","03 Jan 2023","0.00649"
"2023-01-04","04 Jan 2023","0.01329"
"2023-01-05","05 Jan 2023","0.02009"
"2023-01-06","06 Jan 2023","0.02688"
"2023-01-09","09 Jan 2023","0.04383"
"2023-01-10","10 Jan 2023","0.05404"
"2023-01-11","11 Jan 2023","0.06084"
"2023-01-12","12 Jan 2023","0.06764"
"2023-01-13","13 Jan 2023","0.07443"
"2023-01-16","16 Jan 2023","0.09115"
"2023-01-17","17 Jan 2023","0.10162"
"2023-01-18","18 Jan 2023","0.10842"
"2023-01-19","19 Jan 2023","0.11523"
"2023-01-20","20 Jan 2023","0.12203"
"2023-01-23","23 Jan 2023","0.13852"
"2023-01-24","24 Jan 2023","0.14927"
"2023-01-25","25 Jan 2023","0.15608"
"2023-01-26","26 Jan 2023","0.16289"
"2023-01-27","27 Jan 2023","0.16970"
"2023-01-30","30 Jan 2023","0.18594"
"2023-01-31","31 Jan 2023","0.19691"
"2023-02-01","01 Feb 2023","0.20370"
"2023-02-02","02 Feb 2023","0.21050"
"2023-02-03","03 Feb 2023","0.21731"
"2023-02-06","06 Feb 2023","0.23325"
"2023-02-07","07 Feb 2023","0.24451"
"2023-02-08","08 Feb 2023","0.25132"
"2023-02-09","09 Feb 2023","0.25950"
"2023-02-10","10 Feb 2023","0.26768"
"2023-02-13","13 Feb 2023","0.28746"
"2023-02-14","14 Feb 2023","0.30040"
"2023-02-15","15 Feb 2023","0.30858"
"2023-02-16","16 Feb 2023","0.31677"
"2023-02-17","17 Feb 2023","0.32495"
"2023-02-20","20 Feb 2023","0.34443"
"2023-02-21","21 Feb 2023","0.35766"
"2023-02-22","22 Feb 2023","0.36584"
"2023-02-23","23 Feb 2023","0.37402"
"2023-02-24","24 Feb 2023","0.38220"
"2023-02-27","27 Feb 2023","0.40137"
"2023-02-28","28 Feb 2023","0.41491"
"2023-03-01","01 Mar 2023","0.42308"
"2023-03-02","02 Mar 2023","0.43126"
"2023-03-03","03 Mar 2023","0.43946"
